iter	MAE
0	22.77628253
1	22.21508916
2	21.67549318
3	21.15554895
4	20.66619463
5	20.18781253
6	19.71720754
7	19.26737722
8	18.84482357
9	18.43476187
10	18.03735975
11	17.64453067
12	17.27351352
13	16.91422868
14	16.56680666
15	16.24084499
16	15.92807365
17	15.6249235
18	15.33954592
19	15.0576949
20	14.79175751
21	14.53575099
22	14.2934894
23	14.05498586
24	13.82934375
25	13.61105412
26	13.40024533
27	13.20211393
28	13.01245127
29	12.83000543
30	12.65486699
31	12.48713718
32	12.32148217
33	12.15859536
34	12.0087065
35	11.86058743
36	11.72199709
37	11.5853816
38	11.46156984
39	11.34073787
40	11.22499817
41	11.11139654
42	10.99979125
43	10.89145816
44	10.79232631
45	10.69356272
46	10.60015745
47	10.5104655
48	10.42187357
49	10.33582772
50	10.25806596
51	10.18597505
52	10.11210174
53	10.03835052
54	9.973219628
55	9.907547362
56	9.842998899
57	9.779818535
58	9.720916214
59	9.663234077
60	9.609315817
61	9.556466811
62	9.510699058
63	9.461621659
64	9.417175731
65	9.372516552
66	9.331769578
67	9.287439664
68	9.249486077
69	9.210898216
70	9.174791062
71	9.13776344
72	9.105704594
73	9.074392009
74	9.043524761
75	9.013994068
76	8.986299053
77	8.958296934
78	8.931979234
79	8.907399826
80	8.885612514
81	8.86123941
82	8.839761313
83	8.815187085
84	8.792541808
85	8.771906383
86	8.751768324
87	8.731328774
88	8.709789325
89	8.694436543
90	8.67473488
91	8.65905889
92	8.646705063
93	8.632002669
94	8.617920837
95	8.604510895
96	8.585652167
97	8.572640562
98	8.560566546
99	8.549296496
100	8.536982193
101	8.52732114
102	8.515016769
103	8.505514014
104	8.494412083
105	8.485916774
106	8.472764956
107	8.463772108
108	8.455092227
109	8.445344231
110	8.436636491
111	8.424146402
112	8.415515565
113	8.408179606
114	8.401622493
115	8.392772128
116	8.386534811
117	8.37930064
118	8.372035006
119	8.365780073
120	8.360632254
121	8.353305839
122	8.347277653
123	8.341210419
124	8.335613301
125	8.329767756
126	8.323515871
127	8.318461304
128	8.31397752
129	8.309046978
130	8.302506877
131	8.298509598
132	8.293136084
133	8.286703125
134	8.282162834
135	8.278146135
136	8.274127357
137	8.269055574
138	8.264631346
139	8.26026359
140	8.257194568
141	8.253420777
142	8.248949349
143	8.244245296
144	8.241012085
145	8.238478269
146	8.23374802
147	8.22999743
148	8.227605375
149	8.222630834
150	8.218813537
151	8.21617924
152	8.213049531
153	8.210853249
154	8.207319588
155	8.204645698
156	8.200506011
157	8.196621932
158	8.194195095
159	8.190364259
160	8.186021809
161	8.184066275
162	8.182568484
163	8.18052555
164	8.178583564
165	8.175160943
166	8.172678009
167	8.1701498
168	8.164273051
169	8.158816809
170	8.155131952
171	8.152919787
172	8.151326447
173	8.147311742
174	8.144884204
175	8.142657796
176	8.136423117
177	8.133580755
178	8.131515028
179	8.130357921
180	8.126877114
181	8.124531437
182	8.122547112
183	8.120122545
184	8.117020804
185	8.114415383
186	8.113087044
187	8.109194708
188	8.105613456
189	8.099361072
190	8.096701014
191	8.092535313
192	8.087345209
193	8.085621772
194	8.082861439
195	8.080758855
196	8.078706932
197	8.07234365
198	8.069247242
199	8.066433273
200	8.062774313
201	8.061160406
202	8.056265928
203	8.054016695
204	8.050793398
205	8.047283675
206	8.044840919
207	8.042149347
208	8.038028503
209	8.034469245
210	8.030068068
211	8.024601307
212	8.019768966
213	8.01650617
214	8.014808486
215	8.008026162
216	8.005758462
217	8.00238753
218	8.000369876
219	7.997834044
220	7.994728167
221	7.989910415
222	7.987404864
223	7.985467133
224	7.981604741
225	7.979265659
226	7.977973269
227	7.974083202
228	7.969993418
229	7.966902426
230	7.963781245
231	7.960221705
232	7.957882118
233	7.954833219
234	7.95216198
235	7.950304739
236	7.947258711
237	7.945325836
238	7.941623795
239	7.939677015
240	7.936441523
241	7.933017759
242	7.928832078
243	7.926588989
244	7.924472299
245	7.921954519
246	7.919638442
247	7.915160906
248	7.910459487
249	7.906778821
250	7.903879601
251	7.899930689
252	7.896821719
253	7.894231633
254	7.891192403
255	7.889159385
256	7.886121843
257	7.884207595
258	7.882128219
259	7.880736546
260	7.877744636
261	7.874630878
262	7.873554597
263	7.87181504
264	7.868349545
265	7.865797903
