iter	Passed	Remaining
0	14	6996
1	26	6667
2	39	6600
3	52	6547
4	65	6486
5	78	6469
6	91	6434
7	104	6434
8	118	6452
9	132	6489
10	147	6545
11	160	6527
12	173	6491
13	186	6469
14	200	6478
15	214	6494
16	228	6497
17	242	6498
18	257	6508
19	270	6495
20	283	6467
21	298	6488
22	312	6485
23	326	6482
24	340	6472
25	354	6468
26	369	6466
27	382	6452
28	396	6432
29	410	6424
30	423	6411
31	436	6389
32	451	6389
33	464	6367
34	478	6361
35	491	6340
36	505	6325
37	520	6324
38	535	6328
39	550	6329
40	564	6320
41	578	6309
42	592	6292
43	604	6268
44	618	6249
45	631	6235
46	645	6220
47	657	6195
48	671	6176
49	683	6155
50	696	6129
51	708	6107
52	721	6085
53	735	6074
54	748	6057
55	761	6037
56	774	6017
57	786	5992
58	798	5970
59	811	5947
60	822	5921
61	834	5897
62	846	5872
63	858	5848
64	871	5830
65	883	5808
66	895	5789
67	908	5771
68	920	5747
69	932	5725
70	944	5707
71	956	5686
72	967	5661
73	979	5638
74	992	5623
75	1005	5607
76	1018	5593
77	1031	5580
78	1044	5564
79	1056	5549
80	1068	5528
81	1081	5512
82	1092	5491
83	1105	5472
84	1117	5454
85	1128	5434
86	1142	5423
87	1157	5420
88	1170	5406
89	1183	5393
90	1196	5378
91	1208	5360
92	1219	5338
93	1231	5320
94	1244	5303
95	1255	5284
96	1268	5269
97	1280	5251
98	1291	5232
99	1303	5213
100	1315	5195
101	1326	5176
102	1338	5159
103	1350	5140
104	1361	5121
105	1373	5104
106	1385	5087
107	1396	5070
108	1408	5052
109	1419	5032
110	1431	5015
111	1442	4998
112	1453	4977
113	1464	4958
114	1475	4941
115	1487	4924
116	1499	4907
117	1510	4888
118	1521	4871
119	1532	4853
120	1544	4836
121	1555	4820
122	1567	4803
123	1578	4787
124	1590	4770
125	1601	4754
126	1613	4739
127	1624	4721
128	1636	4705
129	1647	4690
130	1660	4676
131	1671	4660
132	1683	4646
133	1695	4631
134	1707	4615
135	1718	4600
136	1729	4583
137	1741	4567
138	1753	4553
139	1765	4538
140	1776	4522
141	1787	4507
142	1799	4491
143	1811	4477
144	1821	4460
145	1833	4444
146	1845	4431
147	1856	4415
148	1867	4399
149	1879	4385
150	1890	4369
151	1901	4353
152	1912	4337
153	1924	4323
154	1936	4310
155	1948	4296
156	1960	4282
157	1973	4270
158	1984	4256
159	1996	4241
160	2008	4229
161	2019	4214
162	2031	4200
163	2042	4185
164	2054	4170
165	2066	4157
166	2077	4141
167	2088	4128
168	2102	4118
169	2115	4106
170	2128	4095
171	2140	4081
172	2151	4067
173	2164	4054
174	2176	4042
175	2190	4031
176	2204	4022
177	2217	4010
178	2230	3999
179	2243	3988
180	2256	3977
181	2269	3965
182	2281	3952
183	2295	3941
184	2308	3929
185	2320	3916
186	2330	3901
187	2342	3887
188	2354	3873
189	2365	3859
190	2377	3846
191	2389	3833
192	2401	3819
193	2411	3804
194	2423	3790
195	2435	3777
196	2446	3762
197	2458	3750
198	2469	3736
199	2482	3723
200	2493	3709
201	2504	3695
202	2517	3682
203	2528	3669
204	2540	3656
205	2552	3642
206	2563	3628
207	2575	3614
208	2586	3601
209	2597	3587
210	2609	3574
211	2621	3561
212	2633	3548
213	2645	3535
214	2656	3522
215	2669	3509
216	2681	3496
217	2692	3483
218	2703	3468
219	2715	3456
220	2727	3443
221	2740	3431
222	2752	3419
223	2763	3405
224	2775	3392
225	2787	3379
226	2798	3366
227	2810	3353
228	2822	3340
229	2834	3327
230	2847	3315
231	2860	3304
232	2872	3291
233	2885	3280
234	2898	3268
235	2911	3257
236	2924	3245
237	2937	3233
238	2951	3223
239	2964	3211
240	2976	3198
241	2989	3186
242	3001	3174
243	3015	3163
244	3027	3151
245	3041	3140
246	3054	3128
247	3068	3117
248	3082	3106
249	3094	3094
250	3107	3082
251	3120	3070
252	3132	3058
253	3146	3047
254	3160	3036
255	3173	3024
256	3185	3012
257	3197	2999
258	3209	2986
259	3221	2973
260	3233	2961
261	3246	2949
262	3258	2936
263	3270	2923
264	3284	2912
265	3296	2900
266	3309	2887
267	3320	2874
268	3332	2861
269	3345	2849
270	3357	2837
271	3370	2824
272	3382	2812
273	3394	2800
274	3406	2787
275	3418	2774
276	3429	2761
277	3441	2748
278	3453	2735
279	3465	2722
280	3477	2709
281	3488	2697
282	3500	2684
283	3514	2673
284	3529	2662
285	3542	2650
286	3553	2637
287	3565	2624
288	3578	2612
289	3589	2599
290	3602	2587
291	3613	2574
292	3625	2561
293	3637	2548
294	3649	2535
295	3661	2523
296	3672	2510
297	3686	2499
298	3699	2486
299	3712	2475
300	3724	2462
301	3736	2449
302	3747	2436
303	3758	2423
304	3770	2410
305	3781	2397
306	3792	2384
307	3804	2371
308	3816	2358
309	3827	2346
310	3838	2332
311	3850	2320
312	3862	2307
313	3874	2295
314	3886	2282
315	3897	2269
316	3909	2256
317	3921	2244
318	3933	2231
319	3945	2219
320	3957	2207
321	3969	2194
322	3981	2181
323	3993	2169
324	4004	2156
325	4015	2143
326	4027	2130
327	4038	2117
328	4050	2105
329	4062	2092
330	4074	2080
331	4086	2067
332	4099	2055
333	4111	2043
334	4122	2030
335	4134	2018
336	4146	2005
337	4158	1993
338	4170	1980
339	4183	1968
340	4195	1956
341	4207	1943
342	4219	1931
343	4232	1919
344	4245	1907
345	4258	1895
346	4271	1883
347	4283	1870
348	4295	1858
349	4306	1845
350	4318	1833
351	4330	1820
352	4342	1808
353	4356	1796
354	4367	1783
355	4378	1771
356	4390	1758
357	4401	1745
358	4413	1733
359	4424	1720
360	4436	1708
361	4448	1695
362	4460	1683
363	4471	1670
364	4484	1658
365	4496	1646
366	4508	1633
367	4519	1621
368	4531	1608
369	4542	1595
370	4554	1583
371	4565	1571
372	4576	1558
373	4590	1546
374	4603	1534
375	4614	1521
376	4626	1509
377	4640	1497
378	4651	1485
379	4664	1472
380	4676	1460
381	4687	1448
382	4700	1435
383	4712	1423
384	4725	1411
385	4738	1399
386	4751	1387
387	4764	1375
388	4776	1362
389	4789	1350
390	4802	1338
391	4816	1327
392	4829	1314
393	4842	1302
394	4854	1290
395	4867	1278
396	4880	1266
397	4892	1253
398	4904	1241
399	4917	1229
400	4930	1217
401	4942	1204
402	4954	1192
403	4966	1180
404	4978	1167
405	4991	1155
406	5003	1143
407	5017	1131
408	5031	1119
409	5043	1107
410	5055	1094
411	5068	1082
412	5081	1070
413	5093	1058
414	5105	1045
415	5117	1033
416	5129	1021
417	5142	1008
418	5155	996
419	5168	984
420	5179	971
421	5191	959
422	5203	947
423	5216	935
424	5227	922
425	5239	910
426	5252	897
427	5263	885
428	5275	873
429	5287	860
430	5299	848
431	5310	835
432	5322	823
433	5334	811
434	5346	798
435	5358	786
436	5370	774
437	5382	761
438	5393	749
439	5404	737
440	5416	724
441	5427	712
442	5439	699
443	5450	687
444	5464	675
445	5490	664
446	5507	652
447	5521	640
448	5532	628
449	5546	616
450	5559	604
451	5571	591
452	5584	579
453	5596	567
454	5608	554
455	5620	542
456	5633	530
457	5646	517
458	5659	505
459	5672	493
460	5685	480
461	5698	468
462	5711	456
463	5723	444
464	5735	431
465	5747	419
466	5760	407
467	5773	394
468	5786	382
469	5807	370
470	5819	358
471	5832	345
472	5846	333
473	5860	321
474	5873	309
475	5886	296
476	5899	284
477	5910	272
478	5921	259
479	5934	247
480	5948	234
481	5960	222
482	5974	210
483	5986	197
484	5997	185
485	6010	173
486	6022	160
487	6034	148
488	6047	136
489	6060	123
490	6072	111
491	6084	98
492	6096	86
493	6108	74
494	6120	61
495	6132	49
496	6145	37
497	6157	24
498	6170	12
499	6183	0
