ws_bin,count,speed_mean,target_mean,target_median,target_q,target_max,cap_raw,cap_smooth,cap_final,start_ws,quantile,margin_mw,hard_max_cap,bin_width
11.5,464,11.615797413793102,64.61177146982759,68.97749999999999,73.5148,87.475,75.0148,75.592,75.592,11.5,0.7,1.5,77.0,0.5
12.0,760,11.985802631578947,67.18229473684211,71.309,74.6692,86.806,76.1692,76.1692,76.1692,11.5,0.7,1.5,77.0,0.5
12.5,646,12.494489164086687,69.23128073684211,72.3495,75.4495,86.8,76.9495,76.9495,76.9495,11.5,0.7,1.5,77.0,0.5
13.0,514,12.985583657587549,70.7103093385214,72.7955,76.0204,87.18,77.5204,77.5204,77.0,11.5,0.7,1.5,77.0,0.5
13.5,378,13.493359788359788,72.19170053174604,74.8415,76.8837,86.818,78.3837,78.1912,77.0,11.5,0.7,1.5,77.0,0.5
14.0,303,13.988250825082506,71.74761386138613,74.782,76.6912,87.211,78.1912,78.1912,77.0,11.5,0.7,1.5,77.0,0.5
14.5,264,14.49564393939394,73.04047802651515,74.166,76.6629,87.194,78.1629,78.1629,77.0,11.5,0.7,1.5,77.0,0.5
15.0,195,14.987333333333334,74.2684564102564,74.651,76.64739999999999,87.022,78.14739999999999,78.14739999999999,77.0,11.5,0.7,1.5,77.0,0.5
15.5,155,15.47574193548387,74.04089677419354,75.449,76.293,87.208,77.793,78.14739999999999,77.0,11.5,0.7,1.5,77.0,0.5
16.0,118,15.981694915254236,75.08240677966101,75.713,78.2808,87.207,79.7808,78.0915,77.0,11.5,0.7,1.5,77.0,0.5
16.5,66,16.464242424242425,74.72016666666667,75.459,76.5915,87.243,78.0915,78.0915,77.0,11.5,0.7,1.5,77.0,0.5
17.0,38,16.92342105263158,71.97986842105263,72.9205,75.4557,80.754,76.9557,78.0915,77.0,11.5,0.7,1.5,77.0,0.5
17.5,22,17.527727272727272,74.45795454545454,79.6575,80.58439999999999,87.208,82.08439999999999,82.08439999999999,77.0,11.5,0.7,1.5,77.0,0.5
18.0,29,17.91344827586207,76.36586206896553,75.772,80.6208,87.251,82.1208,82.08439999999999,77.0,11.5,0.7,1.5,77.0,0.5
18.5,24,18.508333333333333,66.71216666666668,67.84100000000001,75.97779999999999,87.202,77.47779999999999,77.9744,77.0,11.5,0.7,1.5,77.0,0.5
19.0,15,19.023333333333333,73.80733333333333,71.802,76.4744,87.208,77.9744,77.47779999999999,77.0,11.5,0.7,1.5,77.0,0.5
19.5,10,19.500999999999998,70.3444,72.0945,75.5725,82.743,77.0725,77.9744,77.0,11.5,0.7,1.5,77.0,0.5
20.5,6,20.393333333333334,72.81033333333333,79.418,82.689,82.87,84.189,77.0725,77.0,11.5,0.7,1.5,77.0,0.5
21.5,6,21.481666666666666,53.04216666666667,50.394,65.024,76.62,66.524,75.3565,75.3565,11.5,0.7,1.5,77.0,0.5
