speed_bin,count,speed_mean,target_mean,target_median,target_q,cap_raw,cap_smooth
"(-0.001, 0.5]",42,0.34690476190476194,4.808190476190476,1.6665,4.114,4.114,3.8545
"(0.5, 1.0]",138,0.8048550724637681,3.7303840579710146,0.967,3.5949999999999998,3.5949999999999998,4.114
"(1.0, 1.5]",289,1.2869896193771626,3.5584290657439444,1.413,4.628,4.628,4.593
"(1.5, 2.0]",484,1.7898553719008263,3.4886322314049587,1.657,4.593,4.593,4.628
"(2.0, 2.5]",700,2.264785714285714,4.093995714285715,1.7525,4.852,4.852,4.852
"(2.5, 3.0]",982,2.7740529531568225,4.54050916496945,2.2895000000000003,5.83125,5.83125,5.83125
"(3.0, 3.5]",1243,3.264810941271118,5.3965012067578435,3.32,7.188,7.188,7.188
"(3.5, 4.0]",1395,3.7619354838709675,7.2274458781362005,4.899,9.900500000000001,9.900500000000001,9.900500000000001
"(4.0, 4.5]",1543,4.255657809462087,9.260298120544393,6.743,12.76,12.76,12.76
"(4.5, 5.0]",1695,4.759769911504425,11.830466076696165,9.326,15.753,15.753,15.753
"(5.0, 5.5]",1860,5.251354838709678,14.746089247311827,12.185500000000001,19.96125,19.96125,19.96125
"(5.5, 6.0]",1815,5.758727272727273,18.04234655647383,15.65,24.9765,24.9765,24.9765
"(6.0, 6.5]",1853,6.252298974635726,21.51840798704803,19.022,29.035,29.035,29.035
"(6.5, 7.0]",1761,6.753219761499148,25.485560477001705,23.603,34.646,34.646,34.646
"(7.0, 7.5]",1763,7.24965399886557,30.578530346001134,28.432,41.329,41.329,41.329
"(7.5, 8.0]",1688,7.7538507109004735,35.364799763033176,34.197500000000005,47.65225,47.65225,47.65225
"(8.0, 8.5]",1627,8.25219422249539,39.87219304118009,39.983,52.5115,52.5115,52.5115
"(8.5, 9.0]",1519,8.748762343647137,44.57738525477288,45.401,58.665,58.665,58.665
"(9.0, 9.5]",1398,9.25381974248927,48.46423344849786,50.7225,62.23775,62.23775,62.23775
"(9.5, 10.0]",1326,9.744668174962293,52.609593302413266,55.4285,66.09225,66.09225,66.09225
"(10.0, 10.5]",1154,10.244064124783362,57.31760284315424,60.219,70.0955,70.0955,70.0955
"(10.5, 11.0]",1123,10.747515583259126,60.9243410507569,64.994,72.1285,72.1285,72.1285
"(11.0, 11.5]",1045,11.247043062200957,62.98772719521531,67.422,72.989,72.989,72.989
"(11.5, 12.0]",852,11.748544600938967,65.61263788849766,70.1525,75.07,75.07,75.07
"(12.0, 12.5]",679,12.249366715758468,68.63632106038291,72.187,75.94300000000001,75.94300000000001,75.94300000000001
"(12.5, 13.0]",596,12.74518456375839,69.82739153691274,72.3595,76.40925,76.40925,76.40925
"(13.0, 13.5]",430,13.253674418604652,71.88591116511628,73.74449999999999,77.2365,77.2365,77.2365
"(13.5, 14.0]",339,13.73920353982301,71.42282595870206,74.623,77.4605,77.4605,77.4605
"(14.0, 14.5]",280,14.260928571428572,72.97848285357144,74.6995,77.79975,77.79975,77.4605
"(14.5, 15.0]",230,14.744608695652175,73.82750434782609,75.0115,77.2935,77.2935,77.79975
"(15.0, 15.5]",173,15.25115606936416,73.7405838150289,74.613,78.184,78.184,77.7685
"(15.5, 16.0]",136,15.7425,74.96004411764706,75.7285,77.7685,77.7685,78.184
"(16.0, 16.5]",90,16.232111111111113,74.60294444444445,75.485,78.338,78.338,77.7685
"(16.5, 17.0]",55,16.747818181818182,73.86787272727273,74.749,77.076,77.076,78.338
"(17.0, 17.5]",20,17.271,71.66325,72.924,78.50625,78.50625,78.50625
"(17.5, 18.0]",32,17.775625,76.89459375,79.269,82.09549999999999,82.09549999999999,79.1125
"(18.0, 18.5]",19,18.27263157894737,69.67626315789474,75.746,79.1125,79.1125,79.1125
"(18.5, 19.0]",18,18.67388888888889,66.18277777777777,67.882,76.12275,76.12275,79.1125
"(19.0, 19.5]",15,19.194666666666667,73.41206666666668,75.081,80.54849999999999,80.54849999999999,80.54849999999999
"(20.0, 20.5]",8,20.25,65.675625,73.222,82.6665,82.6665,81.60749999999999
